muni,url
北海道庁,https://www.pref.hokkaido.lg.jp/news/
札幌市,https://www.city.sapporo.jp/new/index.html
函館市,https://www.city.hakodate.hokkaido.jp/docs/index.rss
旭川市,https://www.city.asahikawa.hokkaido.jp/kurashi/
小樽市,https://www.city.otaru.lg.jp/docs/index.rss
釧路市,https://www.city.kushiro.lg.jp/news.rss
帯広市,https://www.city.obihiro.hokkaido.jp/news.rss
北見市,https://www.city.kitami.lg.jp/shinchaku/index.rss
苫小牧市,https://www.city.tomakomai.hokkaido.jp/rss/whatsnew.rdf
稚内市,https://www.city.wakkanai.hokkaido.jp/shisei/
